,wbcode,year,Democracy,Protest,Within,Credibility,Adverse,Flexibility,Regime,Violence,Transparency,Democracy.rfI,Protest.rfI,Within.rfI,Credibility.rfI,Adverse.rfI,Flexibility.rfI,Regime.rfI,Violence.rfI,Transparency.rfI
78,ADO,1992,,,,,,,,,,0.432108352,-0.339898926,-0.213147711,3.132500537,-0.100892963,-0.456622022,-0.500418616,-0.1332578,-0.398253634
79,ADO,1993,,,,,,,,,,-1.069955415,-0.336711907,-0.817410355,-0.012997238,-0.311197378,-0.078238496,-0.113767602,0.299738156,0.004014925
80,ADO,1994,,,,,,,,,,0.068294367,-0.220234045,0.422570178,1.012005284,-0.387725589,-0.212286341,-0.385302327,0.076448114,-0.57526268
81,ADO,1995,,,,,,,,,,-0.636813718,-0.219252108,0.378911446,1.039289052,-0.119955746,-0.202764203,-0.432724723,0.168547897,-0.204103752
82,ADO,1996,,,,,,,,,,0.195192836,-0.230489587,-0.612192974,-0.659510169,-0.591844341,-0.065498675,-0.320941304,-0.204068967,-0.315799271
83,ADO,1997,,,,,,,,,,-0.121564237,-0.269631226,-0.137389641,0.590063707,0.116447453,-0.332157697,-0.293852161,-0.558841392,-0.370825631
84,ADO,1998,,,,,,,,,,0.654099176,-0.233895098,-0.48343857,-0.640534669,-0.337747251,-0.052405285,-0.206022981,0.243928188,-0.152282421
85,ADO,1999,,,,,,,,,,0.446066235,-0.182014711,0.214151431,0.151592516,-0.140228696,-0.161797842,-0.378311111,0.155920828,-0.604176714
86,ADO,2000,,,,,,,,,,0.334254972,-0.179272196,0.227569489,-0.6959302,-0.112721396,-0.007273062,-0.396283022,-0.050949667,-0.305874186
87,ADO,2001,,,,,,,,,,-0.89825727,-0.269417393,-0.548935408,0.647356277,0.370246941,-0.371560962,-0.285938734,-0.612598035,-0.012869856
88,ADO,2002,,,,,,,,,,-0.199395709,-0.17193283,-0.185517763,-0.659318183,0.696878598,-0.070926037,-0.334074811,-0.5209118,-0.192317863
89,ADO,2003,,,,,,,,,,0.446742133,-0.194959395,0.191857648,-0.670937373,-0.016503659,-0.008445919,-0.328094386,0.036813326,-0.222504428
90,ADO,2004,,,,,,,,,,0.038996596,-0.201236879,-0.431972747,-0.648120709,-0.355432369,-0.071189004,-0.345648588,-0.253845881,-0.286885762
91,ADO,2005,,,,,,,,,,-0.093619941,-0.318626674,-0.211070594,1.427532264,0.306906391,-0.331737015,-0.026620434,-0.520143697,-0.874687893
92,ADO,2006,,,,,,,,,,0.937415808,-0.260524479,-0.366902063,-0.607938162,0.410463203,0.02531595,-0.22240246,0.396829302,0.423065308
93,ADO,2007,,,,,,,,,,-0.351160879,-0.224738328,-0.568554434,-0.667912901,-0.456224357,-0.093688748,-0.305673103,0.091248305,-0.295778503
94,ADO,2008,,,,,,,,,,-0.515278478,-0.197287452,-0.215727205,-0.705292856,-0.304835264,-0.049967951,-0.360616772,0.474132487,-0.133199192
95,ADO,2009,,,,,,,,,,0.691459343,-0.351525527,-0.46567078,1.512442861,0.155281882,-0.28269559,-0.295503627,-0.116838204,0.290978619
96,ADO,2010,,,,,,,,,,0.923782021,-0.264150126,-0.409833635,-0.607757707,0.832060151,0.046158681,-0.226110378,0.216064149,0.648503542
